CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,RESERVCD,OWNCD,OWNGRPCD,ADFORCD,FORTYPCD,FLDTYPCD,MAPDEN,STDAGE,STDSZCD,FLDSZCD,SITECLCD,SICOND,SIBASE,SISP,STDORGCD,STDORGSP,PROP_BASIS,CONDPROP_UNADJ,MICRPROP_UNADJ,SUBPPROP_UNADJ,MACRPROP_UNADJ,SLOPE,ASPECT,PHYSCLCD,GSSTKCD,ALSTKCD,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,TRTCD1,TRTYR1,TRTCD2,TRTYR2,TRTCD3,TRTYR3,PRESNFCD,BALIVE,FLDAGE,ALSTK,GSSTK,FORTYPCDCALC,HABTYPCD1,HABTYPCD1_PUB_CD,HABTYPCD1_DESCR_PUB_CD,HABTYPCD2,HABTYPCD2_PUB_CD,HABTYPCD2_DESCR_PUB_CD,MIXEDCONFCD,VOL_LOC_GRP,SITECLCDEST,SITETREE_TREE,SITECL_METHOD,CARBON_DOWN_DEAD,CARBON_LITTER,CARBON_SOIL_ORG,CARBON_UNDERSTORY_AG,CARBON_UNDERSTORY_BG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,SOIL_ROOTING_DEPTH_PNW,GROUND_LAND_CLASS_PNW,PLANT_STOCKABILITY_FACTOR_PNW,STND_COND_CD_PNWRS,STND_STRUC_CD_PNWRS,STUMP_CD_PNWRS,FIRE_SRS,GRAZING_SRS,HARVEST_TYPE1_SRS,HARVEST_TYPE2_SRS,HARVEST_TYPE3_SRS,LAND_USE_SRS,OPERABILITY_SRS,STAND_STRUCTURE_SRS,NF_COND_STATUS_CD,NF_COND_NONSAMPLE_REASN_CD,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,OWNSUBCD,INDUSTRIALCD_FIADB,RESERVCD_5,ADMIN_WITHDRAWN_CD,CHAINING_CD,LAND_COVER_CLASS_CD_RET,AFFORESTATION_CD,PREV_AFFORESTATION_CD,DWM_FUELBED_TYPCD,NVCS_PRIMARY_CLASS,NVCS_LEVEL_1_CD,NVCS_LEVEL_2_CD,NVCS_LEVEL_3_CD,NVCS_LEVEL_4_CD,NVCS_LEVEL_5_CD,NVCS_LEVEL_6_CD,NVCS_LEVEL_7_CD,NVCS_LEVEL_8_CD,AGE_BASIS_CD_PNWRS,COND_STATUS_CHNG_CD_RMRS,CRCOVPCT_RMRS,DOMINANT_SPECIES1_PNWRS,DOMINANT_SPECIES2_PNWRS,DOMINANT_SPECIES3_PNWRS,DSTRBCD1_P2A,DSTRBCD2_P2A,DSTRBCD3_P2A,DSTRBYR1_P2A,DSTRBYR2_P2A,DSTRBYR3_P2A,FLDTYPCD_30,FOREST_COMMUNITY_PNWRS,LAND_USECD_RMRS,MAICF,PCTBARE_RMRS,QMD_RMRS,RANGETYPCD_RMRS,SDIMAX_RMRS,SDIPCT_RMRS,SDI_RMRS,STAND_STRUCTURE_ME_NERS,TREES_PRESENT_NCRS,TREES_PRESENT_NERS,TRTCD1_P2A,TRTCD2_P2A,TRTCD3_P2A,TRTOPCD,TRTYR1_P2A,TRTYR2_P2A,TRTYR3_P2A,LAND_COVER_CLASS_CD,SIEQN_REF_CD,SICOND_FVS,SIBASE_FVS,SISP_FVS,SIEQN_REF_CD_FVS,MQUADPROP_UNADJ,SOILPROP_UNADJ,FOREST_COND_STATUS_CHANGE_CD
9187279010661,9187278010661,1986,10,1,1,1,1,1,,0,46,40,,100,,,45,2,,6,,50,,0,,,1.0,1.0,1.0,,5,5,39,1,1,,,,,,,,,,,,,,72.7874,,,,,,,,,,,,,,,,1.929184,5.459767,34.851718,0.678634,0.075404,2003-09-26 00:00:00,2010-01-21 09:07:00,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187314010661,9187313010661,1986,10,1,1,2,1,1,,0,46,40,,520,,,85,1,,5,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,2,,,,,,,,,,,,,,99.3935,,,,,,,,,,,,,,,,2.818397,4.307565,23.676674,0.734196,0.081577,2003-09-26 00:00:00,2009-10-28 14:25:57,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187347010661,9187346010661,1986,10,1,1,3,1,1,,0,46,40,,100,,,5,2,,5,,50,,0,,,1.0,1.0,1.0,,5,5,39,3,3,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4.070789,4.786797,34.851718,0.842393,0.093599,2003-09-26 00:00:00,2010-01-21 09:07:00,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187386010661,9187385010661,1986,10,1,1,4,1,1,,0,46,40,,504,,,65,1,,6,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,2,,,,,,,,,,,,,,68.7505,,,,,,,,,,,,,,,,1.978875,3.627571,23.676674,0.74851,0.083168,2003-09-26 00:00:00,2009-10-28 14:25:57,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187422010661,9187421010661,1986,10,1,1,5,1,1,,0,46,40,,100,,,45,2,,6,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,2,,,,,,,,,,,,,,33.9915,,,,,,,,,,,,,,,,1.057309,5.459767,34.851718,0.750966,0.083441,2003-09-26 00:00:00,2010-01-21 09:07:01,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187452010661,9187451010661,1986,10,1,1,6,1,1,,0,46,40,,602,,,45,1,,5,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,2,,,,,,,,,,,,,,90.7022,,,,,,,,,,,,,,,,3.074666,2.816757,44.902411,0.685834,0.076204,2003-09-26 00:00:00,2009-10-28 14:25:57,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187485010661,9187484010661,1986,10,1,1,7,1,1,,0,46,40,,406,,,45,1,,4,,50,,0,,,1.0,1.0,1.0,,5,5,29,1,1,,,,,,,,,,,,,,137.8317,,,,,,,,,,,,,,,,3.245395,10.542785,29.840258,0.961519,0.106835,2003-09-26 00:00:00,2009-10-28 14:25:57,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187526010661,9187525010661,1986,10,1,1,8,1,1,,0,46,40,,706,,,65,1,,5,,50,,0,,,1.0,1.0,1.0,,5,5,39,1,1,,,,,,,,,,,,,,101.9382,,,,,,,,,,,,,,,,3.075084,3.627571,49.812922,0.683623,0.075958,2003-09-26 00:00:00,2009-10-28 14:25:58,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187557010661,9187556010661,1986,10,1,1,9,1,1,,0,46,40,,100,,,65,2,,6,,50,,0,,,1.0,1.0,1.0,,5,5,39,1,1,,,,,,,,,,,,,,123.0315,,,,,,,,,,,,,,,,2.953214,6.115436,34.851718,0.630807,0.07009,2003-09-26 00:00:00,2010-01-21 09:07:01,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187604010661,9187603010661,1986,10,1,1,11,1,1,,0,31,30,,163,,,45,1,,5,,50,,1,,,1.0,1.0,1.0,,5,5,19,1,1,,,,,,,,,,,,,,150.9235,,,,,,,,,,,,,,,,2.952525,5.459767,34.561515,1.037488,0.115276,2003-09-26 00:00:00,2009-10-28 14:25:58,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
